64 Rk - wRAE,Year,Name,School,Position,Classification,P-OPS,P-BABIP,P-BB%,K/9,P-K%,P-K-BB%,P-K/BB,WHIP,FIP,xFIP,SIERA,LOB%,P-GO/AO,P-HR/FB,K-L%,K-S%,P/IP
"","2026","Eric Osterhus","Fordham","P","Jr","1.958","1.000","8.00%","26.9","17.00%","0.09","2.00","10.49","15.21","15.21","4.48","","","","0.00%","100.00%","50.97"
"","2026","Jackson Murcer","Gardner-Webb","P","So","0.786","0.400","20.00%","10.7","20.00%","0.00","1.00","2.40","6.21","7.18","5.32","","2.00","0.00%","50.00%","50.00%","19.80"
"","2026","Malcolm Gillies","Eastern Mich.","P","Fr","3.000","1.000","50.00%","","0.00%","-0.50","0.00","","","","11.86","","","","","",""
"","2026","Caden Chavez","Fordham","P","Fr","0.143","0.000","14.00%","9","29.00%","0.15","2.00","0.50","2.71","3.52","4.18","","3.00","0.00%","50.00%","50.00%","16.00"
"","2026","Jhon Abreu","FGCU","P","Fr","1.413","0.500","22.00%","13.5","22.00%","0.00","1.00","3.75","14.47","4.71","5.45","0.00%","","","0.00%","100.00%","23.26"
"","2026","Liam Thatcher","ETSU","P","Jr","1.045","0.400","18.00%","10.7","18.00%","0.00","1.00","2.40","8.01","9.94","5.53","","0.50","0.00%","0.00%","100.00%","10.20"
"","2026","Edward Scaccia","Eastern Ill.","P","Jr","0.250","0.000","25.00%","9","25.00%","0.00","1.00","1.00","4.21","7.42","7.21","","0.00","0.00%","0.00%","100.00%","13.00"
"","2026","Andrew Shute","Delaware St.","1B","Fr","1.096","0.300","35.00%","0","0.00%","-0.35","0.00","4.12","17.84","18.44","9.64","","6.00","0.00%","","","33.75"
"","2026","Jason DeMarco","FDU","P","Sr","0.250","0.000","25.00%","18","50.00%","0.25","2.00","1.00","2.21","3.82","2.36","","0.00","0.00%","0.00%","100.00%","22.00"
"","2026","Zachary Malvasio","UCF","LF","Fr","0.750","0.333","33.00%","9","17.00%","-0.16","0.50","3.00","7.21","10.42","8.71","","0.00","0.00%","0.00%","100.00%","21.00"
