64 Rk - wRCE,Year,Name,School,Position,Classification,G,AVG,OBP,SLG,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,SO,CS,PO,SB,IBB,PA
"1","2026","Dee Kennedy","Kansas St.","SS","Jr","31","0.445","0.561","0.964","49","110","49","11","2","106","14","51","30","4","4","0","22","3","0","16","0","148"
"2","2026","Landon Hairston","Arizona St.","LF","So","32","0.461","0.539","1.016","48","128","59","13","2","130","18","51","18","5","1","0","13","2","0","9","4","152"
"3","2026","Lorenzo Carrier","Pittsburgh","RF","Sr","29","0.412","0.579","0.907","39","97","40","5","2","88","13","50","36","5","2","0","30","0","0","4","12","140"
"4","2026","Brayden Bakes","Illinois St.","LF","So","31","0.379","0.454","0.689","34","132","50","9","1","91","10","29","18","1","1","0","19","0","0","4","2","152"
"5","2026","Kollin Ritchie","Oklahoma St.","CF","Jr","30","0.310","0.424","0.836","37","116","36","5","1","97","18","48","19","4","0","0","33","3","0","1","2","139"
"6","2026","Dylan Carey","Nebraska","SS","Sr","30","0.391","0.440","0.688","28","128","50","10","2","88","8","44","8","4","1","0","24","1","0","5","0","141"
"7","2026","Grayson Fitzwater","VMI","1B","Sr","31","0.400","0.555","0.876","37","105","42","12","1","92","12","45","35","4","2","0","16","1","0","11","11","146"
"8","2026","Tague Davis","Louisville","1B","So","32","0.392","0.474","0.908","44","130","51","8","1","118","19","62","19","2","1","0","30","0","0","2","4","152"
"9","2026","Dean Toigo","Arizona St.","RF","Sr","32","0.339","0.441","0.711","34","121","41","9","0","86","12","37","12","10","0","1","24","3","0","2","0","144"
"10","2026","John Paul Head","UAB","LF","So","30","0.303","0.450","0.725","32","109","33","7","0","79","13","33","28","2","1","0","18","2","1","8","4","140"
"11","2026","Drew Detlefsen","UTSA","LF","Sr","31","0.409","0.470","0.727","39","132","54","9","0","96","11","39","9","8","2","0","26","0","0","2","3","151"
"12","2026","Matthew Rhoades","Butler","1B","Jr","31","0.298","0.403","0.785","33","121","36","8","0","95","17","32","13","9","1","0","42","0","0","1","0","144"
"13","2026","Daniel Jackson","Georgia","C","Jr","33","0.406","0.500","0.844","42","128","52","6","1","108","16","47","20","5","1","0","32","1","1","17","1","154"
