Team Rk,Year,School,Conference,P-OPS,WHIP,FIP,OPS,wOBA,R/PA,RC/AB,RA/AB,wRC35,wRA35,wRE35,Rk - wRE35
"1","2026","Texas","SEC","0.611","1.13","2.92","0.934","0.408","0.20","0.21","0.09","6.07","7.87","13.93","0.987"
"2","2026","UCLA","Big Ten","0.687","1.23","3.93","0.964","0.424","0.22","0.22","0.11","6.20","6.36","12.56","0.964"
"3","2026","Mississippi St.","SEC","0.650","1.19","3.39","0.986","0.428","0.23","0.23","0.10","6.68","8.83","15.51","1.000"
"4","2026","Florida St.","ACC","0.643","1.25","3.36","0.872","0.388","0.20","0.19","0.10","5.67","7.50","13.17","0.981"
"5","2026","Georgia Tech","ACC","0.706","1.40","3.96","1.113","0.475","0.26","0.30","0.12","8.60","6.52","15.12","0.997"
"6","2026","Georgia","SEC","0.704","1.36","3.72","1.081","0.462","0.23","0.27","0.12","7.44","5.76","13.20","0.984"
"7","2026","Alabama","SEC","0.651","1.24","3.81","0.849","0.378","0.18","0.18","0.10","4.90","5.43","10.34","0.876"
"8","2026","Florida","SEC","0.626","1.24","2.87","0.837","0.371","0.18","0.17","0.09","5.13","7.44","12.57","0.967"
"9","2026","Texas A&M","SEC","0.753","1.31","4.68","1.051","0.454","0.24","0.26","0.14","6.66","5.23","11.88","0.928"
"10","2026","Miami (FL)","ACC","0.734","1.36","4.04","1.006","0.435","0.24","0.24","0.13","6.14","4.90","11.04","0.899"
"11","2026","Auburn","SEC","0.622","1.09","3.00","0.825","0.370","0.16","0.17","0.09","4.68","7.87","12.55","0.961"
"12","2026","North Carolina","ACC","0.667","1.30","3.78","0.881","0.390","0.20","0.19","0.11","5.49","6.44","11.92","0.935"
"13","2026","Oregon St.","DI Independent","0.635","1.21","3.19","0.792","0.357","0.16","0.15","0.10","4.29","8.29","12.58","0.971"
"14","2026","Ole Miss","SEC","0.687","1.27","3.47","0.836","0.371","0.17","0.17","0.11","5.05","7.19","12.24","0.945"
"15","2026","Virginia","ACC","0.729","1.45","4.22","0.907","0.400","0.22","0.20","0.14","5.37","4.03","9.41","0.824"
"16","2026","Clemson","ACC","0.681","1.17","3.76","0.859","0.379","0.17","0.18","0.11","5.09","6.76","11.84","0.925"
"17","2026","Arizona St.","Big 12","0.742","1.49","3.92","0.990","0.430","0.22","0.24","0.14","6.84","5.82","12.66","0.974"
"18","2026","Southern California","Big Ten","0.589","1.17","3.50","0.826","0.366","0.18","0.16","0.09","4.34","7.30","11.64","0.915"
"19","2026","Oklahoma","SEC","0.677","1.30","3.79","0.840","0.373","0.18","0.17","0.11","5.39","6.86","12.25","0.948"
"20","2026","UCF","Big 12","0.655","1.21","4.34","0.826","0.369","0.18","0.17","0.10","5.10","6.06","11.15","0.905"
"21","2026","East Carolina","AAC","0.741","1.35","4.64","0.871","0.385","0.19","0.20","0.13","5.47","5.02","10.49","0.886"
"22","2026","Tennessee","SEC","0.653","1.15","3.71","0.852","0.375","0.17","0.16","0.11","4.90","6.92","11.82","0.919"
"23","2026","NC State","ACC","0.701","1.28","4.18","0.922","0.401","0.21","0.21","0.12","5.60","5.48","11.09","0.902"
"24","2026","Southern Miss.","Sun Belt","0.691","1.30","3.53","0.827","0.366","0.15","0.17","0.12","4.82","5.23","10.06","0.853"
"25","2026","Wake Forest","ACC","0.759","1.38","4.59","0.923","0.406","0.21","0.21","0.14","5.88","8.23","14.11","0.994"
"26","2026","West Virginia","Big 12","0.696","1.29","4.10","0.889","0.394","0.20","0.19","0.11","5.88","8.06","13.94","0.990"
"27","2026","Oregon","Big Ten","0.617","1.10","3.66","0.913","0.402","0.18","0.20","0.09","5.42","6.94","12.36","0.958"
"28","2026","Kentucky","SEC","0.712","1.36","4.19","0.863","0.386","0.19","0.17","0.12","4.87","6.51","11.39","0.912"
"29","2026","Cincinnati","Big 12","0.777","1.42","4.90","0.921","0.403","0.19","0.20","0.15","5.50","4.70","10.20","0.866"
"30","2026","LSU","SEC","0.659","1.36","3.57","0.903","0.398","0.21","0.20","0.10","5.73","7.31","13.04","0.977"
"31","2026","Kansas St.","Big 12","0.831","1.49","5.01","1.023","0.440","0.24","0.25","0.16","8.07","3.85","11.92","0.932"
"32","2026","Coastal Carolina","Sun Belt","0.771","1.46","4.87","0.840","0.378","0.19","0.16","0.15","4.83","4.08","8.90","0.772"
"33","2026","Missouri St.","CUSA","0.845","1.68","5.02","0.994","0.429","0.21","0.23","0.16","6.40","4.26","10.66","0.889"
"34","2026","Jacksonville St.","CUSA","0.651","1.26","3.58","0.835","0.372","0.18","0.17","0.10","5.62","6.65","12.27","0.951"
"35","2026","Texas St.","Sun Belt","0.811","1.49","4.63","0.951","0.412","0.20","0.22","0.16","6.03","3.10","9.12","0.791"
