Player,Team,Position,DRS,FramingRuns Saved,PitchesFramed,StolenBase Runs,PickoffRuns,ThrowingRuns,INF GBRuns,DP RunsStart,DP RunsPivot,IFFBRuns,BuntRuns,OF FlyBallRuns,OF ArmRuns,BlockingRuns
"Ryder Helfrick","Arkansas","C","16.32","14.27","772","-0.13","0.82","0.69","-0.12","0.00","0.00","0.00","0.00","0.00","0.00","1.48"
"Austin Fawley","Ole Miss","C","14.45","11.23","649","0.70","0.27","0.97","-0.26","0.00","-0.04","0.00","-0.51","0.00","0.00","3.07"
"Coltin Quagliano","Duke","3B","12.91","0.00","0","0.00","0.00","0.00","11.65","0.74","-0.03","-0.34","0.89","0.00","0.00","0.00"
"Brayden Jefferis","Michigan","3B","11.09","0.00","0","0.00","0.00","0.00","10.88","0.11","0.00","0.05","0.05","0.00","0.00","0.00"
"Ryan Tayman","Cal Poly","C","10.96","7.05","801","-0.37","1.38","1.01","-0.05","0.00","-0.01","0.00","-0.34","0.00","0.00","3.31"
"Augusto Mungarrieta","Kansas","C","10.91","3.66","706","0.05","0.14","0.19","0.00","0.00","-0.01","0.00","0.28","0.00","0.00","6.79"
"Burke-Lee Mabeus","Oregon","C","10.89","7.23","527","0.52","0.70","1.22","-0.36","0.00","0.00","0.00","0.28","0.00","0.00","2.51"
"Cole Hansen","California Baptist","C","10.84","5.86","333","0.79","-0.26","0.53","0.00","0.00","0.00","0.00","0.08","0.00","0.00","4.37"
"Jonathan Fitz","Xavier","C","10.79","3.76","563","0.33","-1.24","-0.91","-0.12","-0.01","0.00","0.00","0.63","0.00","0.00","7.45"
"Grayson Ashe","Jacksonville State","C","10.40","7.76","732","-0.62","0.45","-0.17","0.10","0.00","-0.01","0.01","-0.41","0.00","0.00","3.12"
"Kyle Schupmann","Illinois","3B","10.35","0.00","0","0.00","0.00","0.00","10.16","0.12","0.00","-0.32","0.40","0.00","0.00","0.00"
"Steven Milam","LSU","SS","10.04","0.00","0","0.00","0.00","0.00","9.08","0.43","0.45","0.08","0.00","0.00","0.00","0.00"
"Ryan McKay","Michigan State","2B","9.77","0.00","0","0.00","0.00","0.00","8.70","0.51","0.52","0.03","0.00","0.00","0.00","0.00"
"Gavin Gallaher","North Carolina","2B","9.60","0.00","0","0.00","0.00","0.00","8.34","0.49","0.72","0.06","0.00","0.00","0.00","0.00"
"Dee Kennedy","Kansas State","SS","9.46","0.00","0","0.00","0.00","0.00","8.07","0.65","0.68","0.06","0.00","0.00","0.00","0.00"
"Mateo Serna","Missouri","C","9.32","5.93","590","-0.27","0.00","-0.27","0.16","0.00","0.00","0.00","0.27","0.00","0.00","3.23"
"Sam Harry","Sacramento State","CF","9.28","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.28","0.00","0.00"
"Charlie Evans","Appalachian State","CF","9.19","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.19","0.00","0.00"
"Ryan Zuckerman","Georgia Tech","3B","9.13","0.00","0","0.00","0.00","0.00","8.23","0.29","0.00","0.04","0.59","0.00","0.00","0.00"
"JC Davis","Rice","2B","9.12","0.00","0","0.00","0.00","0.00","7.16","0.60","1.28","0.08","0.00","0.00","0.00","0.00"
"Lee Amedee","Louisiana","1B","9.04","0.00","0","0.00","0.00","0.00","7.44","0.11","0.13","0.09","1.27","0.00","0.00","0.00"
"Tanner Marsh","Liberty","SS","9.04","0.00","0","0.00","0.00","0.00","7.98","0.15","0.84","0.07","0.00","0.00","0.00","0.00"
"Deiten Lachance","Oklahoma","C","8.98","6.37","372","0.05","1.13","1.18","0.00","0.00","0.00","0.00","-0.26","0.00","0.00","1.70"
"Ethan Mendoza","Texas","2B","8.92","0.00","0","0.00","0.00","0.00","8.05","-0.01","0.86","0.02","0.00","0.00","0.00","0.00"
"Dylan Carey","Nebraska","SS","8.90","0.00","0","0.00","0.00","0.00","7.97","0.49","0.40","0.03","0.00","0.00","0.00","0.00"
"Shintaro Inoue","Kansas State","2B","8.89","0.00","0","0.00","0.00","0.00","7.44","0.57","0.84","0.03","0.00","0.00","0.00","0.00"
"Ian Armstrong","Saint Mary's (CA)","C","8.85","5.29","477","-0.43","0.31","-0.12","0.00","0.00","-0.01","0.00","0.18","0.00","0.00","3.51"
"Owen Walewander","Lehigh","C","8.83","0.74","573","0.27","4.95","5.22","0.07","0.00","-0.04","0.00","0.12","0.00","0.00","2.72"
"Daniel Jackson","Georgia","C","8.76","2.97","696","0.51","0.00","0.51","0.18","0.00","0.00","0.00","1.34","0.00","0.00","3.76"
"Parker Goff","BYU","C","8.68","4.14","376","0.35","0.31","0.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.89"
"Duncan Mathews","South Alabama","C","8.66","4.65","669","-0.21","0.00","-0.21","0.25","-0.04","0.00","0.01","-0.19","0.00","0.00","4.19"
"Roch Cholowsky","UCLA","SS","8.63","0.00","0","0.00","0.00","0.00","7.55","0.73","0.31","0.03","0.00","0.00","0.00","0.00"
"Drew Culbertson","Michigan","SS","8.58","0.00","0","0.00","0.00","0.00","7.26","0.72","0.56","0.03","0.00","0.00","0.00","0.00"
"Mack Mitchell","SIUE","2B","8.55","0.00","0","0.00","0.00","0.00","8.00","0.12","0.43","0.01","0.00","0.00","0.00","0.00"
"Wesley Helms","UAB","1B","8.48","0.00","0","0.00","0.00","0.00","6.47","0.24","0.26","0.09","1.42","0.00","0.00","0.00"
"Javier Crespo","UCF","3B","8.48","0.00","0","0.00","0.00","0.00","7.69","0.10","0.00","0.02","0.66","0.00","0.00","0.00"
"Cooper Nicholson","North Carolina","3B","8.47","0.00","0","0.00","0.00","0.00","7.20","0.60","0.00","0.09","0.58","0.00","0.00","0.00"
"Hutson Miles","Lipscomb","CF","8.47","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.84","1.63","0.00"
"Connor Cuff","Southeastern Louisiana","SS","8.43","0.00","0","0.00","0.00","0.00","7.07","0.43","0.88","0.05","0.00","0.00","0.00","0.00"
