Player,Team,Position,oRAR,oWAR,DRS,dWAR,pRAR,pWAR,WAR
"Landon Hairston","Arizona State","LF","54.31","4.00","0.14","0.01","0.00","0.00","4.01"
"Evan Dempsey","FGCU","RF","25.74","1.90","5.07","0.37","22.50","1.66","3.93"
"Dee Kennedy","Kansas State","SS","43.48","3.20","9.46","0.70","0.00","0.00","3.90"
"Daniel Jackson","Georgia","C","39.85","2.93","8.76","0.65","0.00","0.00","3.58"
"Tre Phelps","Georgia","3B","39.88","2.94","5.25","0.39","0.00","0.00","3.32"
"Ryan Zuckerman","Georgia Tech","3B","33.86","2.49","9.13","0.67","0.00","0.00","3.17"
"Vahn Lackey","Georgia Tech","C","38.32","2.82","4.61","0.34","0.00","0.00","3.16"
"Ryder Helfrick","Arkansas","C","25.26","1.86","16.66","1.23","0.00","0.00","3.09"
"Tague Davis","Louisville","1B","36.97","2.72","4.97","0.37","0.00","0.00","3.09"
"Roch Cholowsky","UCLA","SS","32.41","2.39","8.63","0.64","0.00","0.00","3.02"
"Brodie Johnston","Vanderbilt","3B","30.83","2.27","9.58","0.71","0.00","0.00","2.98"
"Quinton Coats","Cincinnati","1B","39.91","2.94","0.23","0.02","0.00","0.00","2.96"
"Lorenzo Carrier","Pittsburgh","RF","38.84","2.86","1.13","0.08","0.00","0.00","2.94"
"Brady Neal","Alabama","C","30.59","2.25","8.86","0.65","0.00","0.00","2.91"
"Jackson Smith","Cincinnati","2B","32.75","2.41","6.45","0.47","0.00","0.00","2.89"
"Carson Tinney","Texas","C","31.85","2.35","6.80","0.50","0.00","0.00","2.85"
"Caden Miller","UTSA","1B","33.92","2.50","4.69","0.35","0.00","0.00","2.84"
"Gavin Grahovac","Texas A&M","1B","30.27","2.23","7.83","0.58","0.00","0.00","2.81"
"Bayram Hot","Louisville","3B","30.66","2.26","7.30","0.54","0.00","0.00","2.80"
"Brendan Lawson","Florida","SS","35.68","2.63","2.13","0.16","0.00","0.00","2.78"
"Dylan Carey","Nebraska","SS","28.31","2.08","8.90","0.66","0.00","0.00","2.74"
"Logan Hughes","Texas Tech","LF","30.01","2.21","6.27","0.46","0.00","0.00","2.67"
"Hunter Ray","Fairleigh Dickinson","RF","33.69","2.48","2.52","0.19","0.00","0.00","2.67"
"Jarren Advincula","Georgia Tech","2B","32.19","2.37","4.03","0.30","0.00","0.00","2.67"
"Harrison Feinberg","Northeastern","LF","30.46","2.24","5.23","0.39","0.00","0.00","2.63"
"Will Gasparino","UCLA","CF","31.39","2.31","4.08","0.30","0.00","0.00","2.61"
"Grayson Fitzwater","VMI","1B","32.19","2.37","3.21","0.24","0.00","0.00","2.61"
"Javar Williams","Wake Forest","CF","31.24","2.30","4.01","0.30","0.00","0.00","2.60"
